artist,artist_href,life,num_artworks
David Bowie,/en/david-bowie,1947 - 2016,15
Frank Bowling,/en/frank-bowling,born 1936,17
Stanley Boxer,/en/stanley-boxer,1926 - 2000,22
Mykhailo Boychuk,/en/mykhailo-boychuk,1882 - 1937,16
Maria Bozoky,/en/bozoky-maria,1917 - 1996,255
Paul Brach,/en/paul-brach,1924 - 2007,16
John Brack,/en/john-brack,1920 - 1999,17
Robert Brackman,/en/robert-brackman,1898 - 1980,29
Marie Bracquemond,/en/marie-bracquemond,1840 - 1916,21
William Bradford,/en/william-bradford,1823 - 1892,120
John Bradley,/en/john-bradley,c.1800 - c.1850,18
Donato Bramante,/en/donato-bramante,1444 - 1514,23
Leonaert Bramer,/en/leonaert-bramer,1596 - 1674,20
Miguel Rio Branco,/en/miguel-rio-branco,born 1946,57
Constantin Brancusi,/en/constantin-brancusi,1876 - 1957,43
Antonietta Brandeis,/en/antonietta-brandeis,1848 - 1926,28
Eugene Brands,/en/eugene-brands,1913 - 2002,54
Georges Braque,/en/georges-braque,1882 - 1963,243
Brassai,/en/brassai,1899 - 1984,60
John Bratby,/en/john-bratby,1928 - 1992,113
